               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.055857,            0.018638,          1.6985e-05,              0.8301,             0.67468,             0.72247,             0.38219,            0.052933,             0.02034,          2.6691e-05,            0.005149,            0.005149,            0.005149
                  51,            0.053668,            0.018588,          2.2682e-05,             0.84135,             0.66758,              0.7259,             0.38798,            0.052232,            0.020351,          3.1172e-05,             0.00505,             0.00505,             0.00505
                  52,            0.054412,            0.018623,          2.3434e-05,             0.82961,             0.68417,             0.72949,             0.38893,            0.052629,            0.020241,          3.2164e-05,            0.004951,            0.004951,            0.004951
                  53,             0.05412,            0.018278,          2.6229e-05,             0.82402,             0.68267,             0.72898,             0.38667,            0.052536,            0.020446,          3.2888e-05,            0.004852,            0.004852,            0.004852
                  54,            0.053107,            0.018198,          2.8788e-05,             0.81449,             0.68892,             0.72078,             0.38135,            0.052258,            0.020378,           3.322e-05,            0.004753,            0.004753,            0.004753
                  55,            0.053577,            0.017806,          2.9184e-05,             0.81079,             0.69847,             0.73014,             0.39166,            0.052037,            0.020242,          3.4988e-05,            0.004654,            0.004654,            0.004654
                  56,            0.053327,            0.017917,          2.9733e-05,             0.81399,             0.69398,             0.73015,             0.39145,            0.051768,              0.0202,          3.5316e-05,            0.004555,            0.004555,            0.004555
                  57,            0.052897,            0.018217,           3.035e-05,             0.81965,             0.69032,             0.72307,              0.3842,            0.051846,            0.020363,          3.5848e-05,            0.004456,            0.004456,            0.004456
                  58,            0.051868,            0.018582,          3.0707e-05,             0.82657,             0.68858,             0.73093,             0.39468,             0.05167,            0.020251,          3.5691e-05,            0.004357,            0.004357,            0.004357
                  59,            0.052166,            0.018359,          3.1068e-05,             0.82853,             0.68569,             0.72996,              0.3919,            0.051668,            0.020432,           3.675e-05,            0.004258,            0.004258,            0.004258
                  60,            0.051553,             0.01755,          3.1191e-05,             0.83685,             0.68472,             0.73251,             0.39507,            0.051681,            0.020454,          3.7278e-05,            0.004159,            0.004159,            0.004159
                  61,            0.051352,            0.017847,          3.0099e-05,                0.81,             0.70485,             0.73512,             0.39477,             0.05155,            0.020162,          3.6822e-05,             0.00406,             0.00406,             0.00406
                  62,            0.051087,            0.017908,          3.1628e-05,             0.82712,             0.69298,             0.73423,             0.39508,            0.051308,            0.020242,          3.7794e-05,            0.003961,            0.003961,            0.003961
                  63,            0.051511,            0.017381,          3.4564e-05,             0.83684,             0.69586,             0.73806,             0.39437,            0.051569,            0.020241,          4.0256e-05,            0.003862,            0.003862,            0.003862
                  64,            0.050899,             0.01812,          3.4011e-05,             0.84001,             0.68293,              0.7326,              0.3951,            0.051643,            0.019906,          3.9394e-05,            0.003763,            0.003763,            0.003763
                  65,            0.050438,            0.017782,          3.2501e-05,             0.83346,             0.69656,              0.7447,             0.39913,            0.051358,            0.020003,          3.7895e-05,            0.003664,            0.003664,            0.003664
                  66,            0.050268,            0.016983,           3.334e-05,             0.81136,             0.70092,              0.7373,             0.39663,            0.051185,             0.02018,           3.893e-05,            0.003565,            0.003565,            0.003565
                  67,            0.049902,             0.01754,          3.2662e-05,             0.81954,             0.70518,             0.74747,             0.40411,              0.0504,            0.019991,          3.8317e-05,            0.003466,            0.003466,            0.003466
                  68,            0.050289,            0.017651,           3.359e-05,             0.84038,             0.68148,             0.73697,             0.39953,            0.050939,            0.020018,          3.9261e-05,            0.003367,            0.003367,            0.003367
                  69,            0.049671,            0.017345,           3.333e-05,             0.80762,             0.70588,             0.73738,             0.39894,            0.050853,             0.01985,          4.1346e-05,            0.003268,            0.003268,            0.003268
                  70,            0.049925,             0.01794,          3.3752e-05,             0.82096,             0.70548,             0.74181,             0.40152,            0.050591,            0.020025,          3.7788e-05,            0.003169,            0.003169,            0.003169
